"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in front-line public protection services [421]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408717","1.3.2.34.1.1","1832.48","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in front-line public protection services [421]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408717","1.3.2.34.1.1","1940.07","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in front-line public protection services [421]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408717","1.3.2.34.1.1","1983.96","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [422]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408729","1.3.2.35.1.1","831.84","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [422]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408729","1.3.2.35.1.1","855.65","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [422]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408729","1.3.2.35.1.1","886.35","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [422]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408729","1.3.2.35.1.1","915.44","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [422]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408729","1.3.2.35.1.1","944.32","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Paraprofessional occupations in legal, social, community and education services [422]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408729","1.3.2.35.1.1","964.40","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Assisting occupations in education and in legal and public protection [43]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408741","1.3.2.36.1.1","1008.21","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Assisting occupations in education and in legal and public protection [43]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408741","1.3.2.36.1.1","1026.90","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Assisting occupations in education and in legal and public protection [43]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408741","1.3.2.36.1.1","1033.90","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Assisting occupations in education and in legal and public protection [43]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408741","1.3.2.36.1.1","1060.00","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Assisting occupations in education and in legal and public protection [43]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408741","1.3.2.36.1.1","1082.09","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Assisting occupations in education and in legal and public protection [43]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408741","1.3.2.36.1.1","1116.80","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408753","1.3.2.37.1.1","673.04","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408753","1.3.2.37.1.1","682.83","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408753","1.3.2.37.1.1","731.71","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408753","1.3.2.37.1.1","775.64","","","","2"
